nohup: ignoring input
failed to open /dev/dri/renderD129: Permission denied
failed to open /dev/dri/renderD129: Permission denied
failed to open /dev/dri/renderD129: Permission denied
failed to open /dev/dri/renderD129: Permission denied
# 2026-01-09 00:01:27.163782

# field.xml config.pdb
#   401 molecules 10704 atoms 11016 bonds
# Box vectors (nm):
#     x      y      z
#     4.02   0.00   0.00
#    -2.01   3.48   0.00
#     0.00   0.00  13.00
# Langevin integrator 323.0 K
#   barostat (1.0, 1.0, 0.0)
# coordinates and velocities from state-eq.xml
# platform OpenCL
#   DeviceIndex 0
#   DeviceName NVIDIA GeForce RTX 4060
#   OpenCLPlatformIndex 0
#   OpenCLPlatformName NVIDIA CUDA
#   Precision single
#   UseCpuPme false
#   DisablePmeStream false
# PotentielEnergy 28113.71541082603 kJ/mol
#   HarmonicBondForce 8993.811849594116 kJ/mol
67000	28551.82048485591	65385.92985985591	325.1110028571243	0.8298873818378516	129
68000	28332.503583870304	64584.550458870304	319.9735113767694	0.8305833572473205	129
69000	28039.098611210764	64535.211892460764	322.12772863479614	0.8288019719596676	129
70000	28915.379794020846	65701.98916902085	324.6917508948061	0.8295675864887413	129
71000	28163.15769325127	65118.38425575127	326.18002640512094	0.8291139624593159	129
72000	28259.11890845053	64831.65015845053	322.80222091595004	0.8291381086593809	129
73000	28156.453669408802	65121.5552319088	326.26718668149766	0.83002907249783	129
74000	28085.930900931126	64515.059807181126	321.5365006208296	0.8290923212562816	129
75000	28625.83899037994	64767.92492787994	319.0029568751856	0.827150515542526	129
76000	28857.427849356725	65631.59191185673	324.5819041224421	0.8286374949314	129
77000	28300.605925135955	64947.980925135955	323.4628185802607	0.8300361461439719	129
78000	27984.634355906688	64414.89216840669	321.5464647505262	0.82989204367774	129
79000	28408.25585937564	64794.59570312564	321.1588290751689	0.8286515710561694	129
80000	28115.953486520855	64433.469111520855	320.551361943254	0.8278459211374851	129
81000	28193.392757247784	64841.080257247784	323.46557681685493	0.8305533235999104	129
82000	28094.833466073032	64598.22018482303	322.1919265915261	0.8310751164615102	129
83000	28348.09202031896	65170.99436406896	325.01208559726484	0.830254939022797	129
84000	27966.653998655675	64700.415717405675	324.2252986087696	0.829760743986605	129
85000	28591.76871177304	64633.96402427304	318.12128654784993	0.8287518281554214	129
86000	29123.25162557623	66511.36881307623	330.0008736472351	0.8268520677352681	129
87000	29180.4160080218	65982.8456955218	324.8313866223874	0.8265525794664657	129
88000	28987.43988679978	66210.45551179978	328.5436282986049	0.8295536045272809	129
89000	28409.20900428848	64806.58400428848	321.2562293049016	0.8275942229636489	129
90000	28514.320013248827	65524.62860699883	326.666200082806	0.8285338385947244	129
91000	28104.50169319642	64539.40013069642	321.58742456395	0.8305118666634475	129
92000	28324.88147254393	64946.58069129393	323.23619496608984	0.8291716942239726	129
93000	28312.28956038569	65488.71924788569	328.1324441783247	0.8292716996878057	129
94000	28606.111419998575	65404.154388748575	324.79266787619633	0.8279008657465479	129
95000	28095.39378135564	64341.83909385564	319.92406998581833	0.8280947602037543	129
96000	28249.033063778654	65307.638532528654	327.0924855484394	0.8290102451249751	129
97000	28447.0717094703	64683.8685844703	319.8389094309724	0.8291854341977225	129
98000	28475.82715791627	64948.76465791627	321.9231709133789	0.8303443895051916	129
99000	28710.000323193846	65591.07454194385	325.52553133927495	0.8281077362292786	129
100000	29069.982657024695	65483.615469524695	321.3997265637148	0.8297100445528544	129
101000	28555.34371348907	65691.34371348907	327.7755973189502	0.8295266950628846	129
102000	28759.734245968633	65920.39049596863	327.9932221862325	0.8301731197572912	129
103000	28636.50741783419	65670.64804283419	326.876550101071	0.830146114165611	129
104000	28290.87975742237	64801.43053867237	322.25515916544816	0.8304506775226408	129
105000	28240.79894312023	64505.20519312023	320.08259963406994	0.82944571109876	129
106000	28564.03633243183	64724.70820743183	319.16700299662557	0.8278096895923602	129
107000	28160.290574546205	64614.189012046205	321.7551253488773	0.8290510004741014	129
108000	28328.75315633358	64771.20237508358	321.65407045565735	0.8306447455957096	129
109000	28716.217042651842	65503.63110515184	324.69885335403615	0.8281490837498018	129
110000	28042.28312760027	64615.02140885027	322.80404824769374	0.8286515168105264	129
111000	28274.075342285214	65442.965967285214	328.06590172048965	0.8294019980045032	129
112000	28376.552990567172	65737.49439681717	329.76101049741203	0.8298835852011928	129
113000	28107.124196813733	64876.37419681373	324.5385308519983	0.8279454424513415	129
114000	28453.50772492471	64990.83975617471	322.491540041571	0.8303736672562018	128
115000	28265.468014771177	65411.14379602118	327.86099921949807	0.8306252379628738	128
116000	28512.237048439332	65190.11204843933	323.7320224718546	0.8298806613267091	128
117000	28341.712991737353	64831.35361673735	322.07059865933877	0.8273849965247563	128
118000	28795.936916803126	65396.382229303126	323.04860039972687	0.8297605070468396	128
119000	27910.09569961083	64226.44726211083	320.54108751194065	0.8312505002067107	128
120000	28269.299439896015	65034.596314896015	324.50363915908173	0.8285489952312113	128
121000	28437.550407089468	64664.45665708947	319.7516112427661	0.8260640365903733	128
122000	28096.142143520643	64838.00542477064	324.29680589247425	0.8262654141809295	128
123000	28452.71138483868	64930.93794733868	321.9698540677357	0.8276264461250076	128
124000	28244.455092523363	64679.29103002336	321.5868729166312	0.8288369275709595	128
125000	27906.224482308025	64323.642451058025	321.433135704462	0.8298786257412438	128
126000	28305.17760278139	65245.83385278139	326.05142362391643	0.831001967574047	128
127000	28383.950406588265	64935.196500338265	322.6143505259277	0.8307289852975402	128
128000	28135.340721289685	64151.543846289685	317.8918702191274	0.8298535541471441	128
129000	28150.698850366636	64668.550412866636	322.3195984678801	0.8275235422359167	128
130000	28449.801450751198	64701.1022320012	319.9669260869007	0.828547789817406	128
131000	28615.135135878692	65683.14685462869	327.17550846992475	0.8276492986089943	128
132000	28279.792905371287	64824.80071787129	322.559289227916	0.8264618784208436	128
133000	28467.191989814863	65011.61386481486	322.5541175343019	0.827653033469003	128
134000	28051.75138651539	64442.15763651539	321.194720628851	0.8267344785241424	128
135000	28083.954761235975	65132.095386235975	327.00011910049113	0.8272588664675475	128
136000	28598.584690559655	65203.975315559655	323.0922494938301	0.8270454124592997	128
137000	28258.793580832076	64633.340455832076	321.0547401216953	0.8262442770080514	128
138000	28230.16127283062	64774.12611658062	322.5500836132829	0.8279646161773814	128
139000	28461.22199447354	65249.80011947354	324.70912778534955	0.827182159954036	128
140000	27985.909627238056	64920.589314738056	325.9986723490524	0.8280343240327838	128
141000	28193.529563875578	65007.05300137558	324.92930402148147	0.8298070332089185	128
142000	28818.55964831775	65581.37996081775	324.4817801340727	0.829860176623941	128
143000	28945.12621219689	65052.21996219689	318.6941033325502	0.8294246573195485	128
144000	27865.662113428058	64681.80273842806	324.9524042529579	0.8302017024943421	128
145000	28470.560800650914	64736.334238150914	320.0946669191695	0.8296036074770693	128
146000	28272.143136366038	64535.73688636604	320.07542821892497	0.8307968688643423	128
147000	27736.877225686098	64485.9631631861	324.36055563575763	0.829541272841751	128
148000	28521.874577679322	65160.47614017932	323.3853810878786	0.8297682864799841	128
149000	28177.273834335676	64161.398834335676	317.6087372327329	0.8302402257573449	128
150000	28374.76867770776	65128.43664645776	324.40099827982004	0.8290419493207585	128
151000	28478.128176992468	65233.01489574247	324.4117554025375	0.8283025875596673	128
152000	28886.13014180929	66411.21217305929	331.209774268515	0.8286565330715736	128
153000	28391.94300974853	65007.48207224853	323.18182322722674	0.828904643893669	128
154000	29042.415948501264	64915.548761001264	316.6290805503883	0.8290121526848068	128
155000	27955.0139380584	64615.7209693084	323.5804918489608	0.8289461793603963	128
156000	28089.86289554817	64050.75352054817	317.4036623419542	0.8279059748646498	128
157000	28182.296292411396	64640.925198661396	321.79687815532196	0.8279594120098315	128
158000	28467.241744656	64750.956588406	320.253024177634	0.8295512116670422	128
159000	28595.553293356963	65706.74469960696	327.5566278113282	0.8275725392604986	128
160000	28215.51906267274	64784.67921892274	322.7724664386902	0.8272513608593917	128
161000	28892.51609641884	66129.64109641884	328.668162680833	0.8269358563018716	128
162000	28541.815397979866	65858.34664797987	329.3690305994189	0.8296725126628361	128
163000	28397.646373800235	65409.165905050235	326.6768882496085	0.8279444929824845	128
164000	28498.047372173634	64974.258309673634	321.9520634417031	0.8278013758825374	128
165000	28320.73284875747	65246.67425500747	325.9215451582871	0.827605699051537	128
166000	28867.049350494985	65250.869662994985	321.13659079262817	0.8277233844565172	128
167000	27946.496984113124	64066.254796613124	318.8058808705301	0.827697347603658	128
168000	28552.73043221823	65517.06636971823	326.2604290018419	0.8285298334791555	128
169000	27937.347105247085	64787.042417747085	325.24856990726	0.8282134632291731	128
170000	27947.33759589831	64113.32197089831	319.213893018727	0.8288237725191776	128
171000	28186.3387538729	65021.2410976229	325.1180018824821	0.828057029004473	128
172000	29052.90023227886	65589.54476352886	322.4854719210638	0.8277213324647296	128
173000	28607.68806182919	65159.26228057919	322.6172466743516	0.8279287713448742	128
174000	28087.505707673554	64426.095551423554	320.7373705235753	0.8297267137924833	128
175000	28340.4051119886	64811.6551119886	321.9082764357702	0.8299446774836253	128
176000	28627.400386240566	65981.58788624057	329.70139810901986	0.8288939983417172	128
177000	28121.20254647371	65499.35879647371	329.91295485579496	0.8276799958014274	128
178000	28407.271634152974	65326.306790402974	325.8605881295553	0.8287205380344049	128
179000	28320.260504064732	64740.62378531473	321.45913208436235	0.8267887260392772	128
180000	28907.490873361356	65499.690092111356	322.9758174315975	0.8277229640132335	128
181000	28256.310717571876	64699.998217571876	321.66499996816185	0.8295123691861419	128
182000	28593.29188350041	64997.85047725041	321.3196342686107	0.8293978857000375	128
183000	28392.013862821623	64895.08417532162	322.1891338769745	0.8298902055020227	128
184000	28308.443680315802	65230.1350865658	325.884033140606	0.8282679309730575	128
185000	28816.28335228865	65210.63100853865	321.22950888789524	0.8277364811305135	128
186000	27712.118299849448	64196.18079984945	322.0213641361324	0.8284798393636383	128
187000	27744.550574324443	64760.98026182444	326.7202270420948	0.8293415203775357	128
188000	28434.118967841147	65418.10334284115	326.43385312770215	0.8280980710747196	128
189000	28415.60273218504	65249.55976343504	325.1096582167846	0.828618197880188	128
190000	28510.111334958638	65601.03320995864	327.37772169023697	0.8290777936303401	128
191000	28920.458996360365	65336.826183860365	321.42386113391404	0.8272852292902347	128
192000	27716.79500969709	64163.06844719709	321.6878243759789	0.827025646747431	128
193000	28531.51486193674	65254.49923693674	324.13017392422717	0.8284797487940372	128
194000	28680.746580967447	65205.35986221745	322.3792798121871	0.8292451082790927	128
195000	28250.495996850776	64610.507715600776	320.92644764210763	0.8282181978569471	128
196000	27982.446467975096	64343.751155475096	320.9378598460161	0.8283797757291368	128
197000	28601.71431226452	65463.56587476452	325.35586531077433	0.8289463976688649	128
198000	28051.69044385577	65074.42872510577	326.77590894334026	0.8293418317704933	128
199000	28117.91241253639	64468.86553753639	320.8464932588333	0.8283410766928283	128
200000	27985.243699326587	64683.50151182659	323.9119284537112	0.8298067205618781	128
201000	28839.308812316798	65082.2306873168	319.89297086821875	0.8268128059021278	128
202000	28339.684724332707	64741.20034933271	321.29277593977474	0.8290841663527605	128
203000	28320.910356024804	64723.211137274804	321.29970600921763	0.8275829165549847	128
204000	28460.04813256563	64970.50125756563	322.25429721651244	0.8281698136094089	128
205000	28331.790001479792	64879.47750147979	322.58294110671125	0.8299274611399092	128
206000	27559.88653817179	63741.43341317179	319.3512532011181	0.8307260275859107	128
207000	28258.9842419888	65449.9373669888	328.2606332240401	0.8282257800699052	128
208000	27924.443012424512	64817.02504367451	325.62710340185635	0.8288218416518096	128
209000	28096.029428646667	64782.60755364667	323.808839361003	0.8302186256291567	128
210000	28364.23895714112	65617.27020714112	328.80855692347774	0.8298717147413434	128
211000	28157.40141464857	64626.57328964857	321.8899341624188	0.8291790400538418	128
212000	29039.585422117845	65203.702609617845	319.1974125550766	0.8295083317130089	128
213000	29032.006692080817	66069.72544208082	326.90813191007464	0.8301563495843173	128
214000	28801.64769940608	65239.49926190608	321.61348989976517	0.8273771540503918	128
215000	28372.8096199212	65074.5244636712	323.94244144603454	0.8278792904907566	128
216000	28639.094671229715	65091.317327479715	321.74033430514095	0.8278023043327718	128
217000	28287.51029298827	64714.76810548827	321.51998567922186	0.8293173328908399	128
218000	28292.70819717541	64995.50116592541	323.9519573622845	0.8304375067063817	128
219000	28920.310303488688	66004.20874098869	327.3157303227824	0.8287070541262797	128
220000	28185.184497068112	64965.60637206811	324.637137810241	0.8282032323023699	128
221000	28157.40097344562	65333.94394219562	328.1334440390901	0.8276888855031294	128
222000	28334.833315187192	65572.20050268719	328.67030031419347	0.8276840849256041	128
223000	28120.382098960923	64646.08131771092	322.388864684352	0.8300146047180457	128
224000	28136.012953574187	65304.53639107419	328.06266079249144	0.8292038332868783	128
225000	28192.972651955148	65263.49608945515	327.1976777965507	0.830454946655028	128
226000	28787.782654539624	65399.868592039624	323.1513447128608	0.8288111221235108	128
227000	28379.305495979497	64824.4383084795	321.67775681241	0.8283763389378189	128
228000	28691.96593851439	65330.20421976439	323.38217463783786	0.828891010143129	128
229000	29047.333423271833	65317.33732952183	320.13200654706355	0.8297806831457081	128
230000	28660.979139214498	65205.2252329645	322.5525660262177	0.8292320030900071	128
231000	28798.1729298578	65188.0010548578	321.18961789115167	0.829692159508543	128
232000	28392.456459225097	65623.0423967251	328.61044658009934	0.8295752629983896	128
233000	28621.96155725891	65240.18811975891	323.2055440619368	0.8290792132961892	128
234000	28891.577606484585	65375.460418984585	322.0197781500907	0.8282765917080661	128
235000	28929.3906823945	64770.1094323945	316.342982459655	0.8296596048308493	128
236000	28831.050998257764	65914.36740450776	327.31059310712567	0.829799409080022	128
237000	28208.256824525073	64483.35448077507	320.17696580354897	0.8303044369565608	128
238000	28100.950887785875	65041.435262785875	326.0499065937896	0.829862305824332	128
239000	28724.408514950424	65518.252264950424	324.7556040719618	0.8302726193357035	128
240000	28692.45155842934	64610.58437092934	317.02626661995293	0.8300820373531899	128
241000	28173.270844719664	65072.048188469664	325.6817854423363	0.8300879281423198	128
242000	29473.06955297169	66668.69455297169	328.30186886112335	0.828921766797283	128
243000	28971.54971315572	65104.38174440572	318.9212785940399	0.8300714977477742	128
244000	27899.570959756675	64577.973303506675	323.73667699610724	0.8294514927700465	128
245000	28837.04370848555	64915.07495848555	318.43758732928967	0.8308222653182321	128
246000	28370.063009828154	64373.695822328154	317.78092015212576	0.8280309793211902	128
247000	28857.907836098166	65671.45080484817	324.9294764112686	0.8284815634989878	128
248000	27680.22806967795	64349.18900717795	323.653343773005	0.8286020129646312	128
249000	28285.10245577077	64540.39151827077	320.0021280814342	0.8289357743986664	128
250000	28572.104859533603	64659.4564220336	318.51985173571165	0.8264371911228472	128
251000	27842.573095172003	64724.166845172	325.53011690761286	0.8281880957594805	128
252000	29213.717582473007	65926.72539497301	324.0421172209574	0.8287849550924244	128
253000	28496.22089101642	64750.17010976642	319.99030214203657	0.8295499075118956	128
254000	29088.493559893745	65576.68105989374	322.0577728591758	0.8285656075490968	128
255000	29167.637899586058	65437.52852458606	320.1310066862981	0.8291634925113829	128
256000	27640.351544384437	64017.52732563444	321.07794378704403	0.8279823703909008	128
257000	28069.476391716045	65027.117016716045	326.2013337828111	0.8275648537722768	128
258000	28671.726394483994	65042.859206983994	321.0246063869037	0.828755194641411	128
259000	28233.377589256503	64481.4479017565	319.9384128161082	0.8288589656191921	128
260000	28279.608912312542	64578.62453731254	320.3880743368774	0.8276494157589577	128
261000	28615.694802640297	65407.7963651403	324.74022690294913	0.8283283666388792	128
262000	27893.994464442192	64601.91633944219	323.99722692038677	0.8278374290870666	128
263000	28641.434153598035	65087.387278598035	321.6849971834698	0.8288355805453698	128
264000	28554.86222548294	64715.63566298294	319.1678994235187	0.8278333462586089	128
265000	28185.063380340696	65094.293849090696	325.77404845641234	0.829751972577052	128
266000	27798.79092701181	64160.89248951181	320.9448933493313	0.8292685420249858	128
267000	28203.83411366114	64903.66614491114	323.92582307055443	0.8275815760405153	128
268000	28288.489046598377	64929.70779659838	323.408481319355	0.8282107909586196	128
269000	28484.430174152192	64870.29736165219	321.1546572423202	0.8282364392075008	128
270000	28353.83165935462	64922.12072185462	322.7647778541838	0.827701664030298	128
271000	28141.05164656305	64848.28602156305	323.99115879987954	0.8276343527233218	128
272000	28438.797708783764	64974.868021283764	322.48040366132193	0.8281313264744419	128
273000	28215.447808080527	65203.93218308053	326.47357173465855	0.8295056761934516	128
274000	28483.90700717829	65094.56325717829	323.1387257804423	0.8278047717906215	128
275000	28012.234501408297	64601.0548139083	322.9459939984227	0.8284462753918211	128
276000	28326.22517330572	64818.83064205572	322.0967674290263	0.8293426137165616	128
277000	27871.985009723576	64231.891259723576	320.9255167372571	0.8288504312680095	128
278000	27680.445670090732	64322.55113884073	323.416307815691	0.8302597620105135	128
279000	28645.4015765051	65242.6047015051	323.0199836950621	0.827934303773883	128
280000	27878.102358287317	64320.02813953732	321.64945040936203	0.828393141180976	128
281000	28091.451750625332	65073.91268812533	326.4204067243054	0.8294111689147862	128
282000	28623.864502402954	65196.052002402954	322.79918685569646	0.8285682023434099	128
283000	28201.658983065223	64430.18242056522	319.76588511714107	0.8281491725430753	128
284000	28532.009202971007	64956.43107797101	321.4949546821295	0.8290944623233876	128
285000	28473.57543907652	65473.93481407652	326.57838472523815	0.8287713599179772	128
286000	28492.254112719325	64732.840050219325	319.8723530496771	0.8274295454286185	128
287000	27780.28404206637	64842.39732331637	327.1234467542093	0.8283929486206751	128
288000	28409.103151092422	65053.79846359242	323.4391667014655	0.8269954443715715	128
289000	28541.341129264038	65748.34112926404	328.4022686731522	0.8264770582416716	128
290000	28824.21994620131	65051.08713370131	319.75126646319177	0.8262137202755268	128
291000	28343.724237199058	64668.66954969906	320.61693901828113	0.8295263749301287	128
292000	27746.474934226484	64805.521809226484	327.0963815576287	0.8283057693135744	128
293000	28770.792414981523	65193.72210248152	321.4817841023922	0.8285034056497596	128
294000	28047.51039363141	64072.29945613141	317.967652769553	0.8301723797360431	128
295000	28590.390491803177	65295.67174180318	323.9739198211658	0.8274618089954193	128
296000	28378.30560025078	65799.59466275078	330.2936604617093	0.8296557626273782	128
297000	27764.949457449024	64022.13695744902	320.01888436874395	0.8289028200989124	128
298000	28325.21081016591	64957.91002891591	323.33328489420563	0.8282737172756881	128
299000	28882.761756088003	65926.246131088	326.95902137523757	0.8282127775487029	128
300000	28222.484614153684	64471.082270403684	319.94306734036087	0.8290140719991121	128
301000	28459.93966056686	64981.35372306686	322.351042365054	0.8276181897200469	128
302000	27820.607787118875	64864.170287118875	326.9597109343861	0.8266816074792945	128
303000	27925.34900033049	64969.07556283049	326.96115900859814	0.8286972370912289	128
304000	28006.908739706094	64321.236864706094	320.5232279299932	0.8281012278101643	128
305000	28699.612710636226	64537.612710636226	316.31898580128546	0.8276785639144412	128
306000	28208.86355667858	64292.41824417858	318.48633916109213	0.8273532101976298	128
307000	28068.70462665445	65078.45462665445	326.66126973489384	0.8280511633799398	128
308000	28765.993469789217	65622.46612603922	325.30838916339667	0.827117012439295	128
309000	28231.380711015197	64885.4783672652	323.52215514499346	0.8286944239228724	128
310000	27790.973283451574	63848.715470951574	318.2585088184113	0.8293893456675586	128
311000	28073.542184576858	64382.71796582686	320.47775150414634	0.8267236352933452	128
312000	28145.578442802653	65023.42219280265	325.4970180684825	0.8287675746999329	128
313000	28128.2280181729	64364.7670806729	319.83663388578225	0.8277548757774372	128
314000	28429.01195345464	64989.86742220464	322.69916630119934	0.8290214750440259	128
315000	28288.741358137457	64653.59292063746	320.9691658313603	0.8284752735332397	128
316000	28789.4214067554	64992.7417192554	319.5434333358189	0.8279117617252992	128
317000	27785.709206130647	63954.54123738065	319.2390274496916	0.8288171953917531	128
318000	28248.354143280303	64793.3971120303	322.5595995295328	0.8275111423489276	128
319000	28113.968141024932	64785.76501602493	323.6783747700974	0.8277316740399596	128
320000	28354.31076143816	65617.09982393816	328.89468286113157	0.8291540909281145	128
321000	28406.665317278355	64641.595004778355	319.8224289673221	0.8282349749306793	128
322000	28281.59982654109	64181.98263904109	316.86959878140243	0.8278842168066997	128
323000	27451.907555676415	64548.063805676415	327.42392215318984	0.8285727274981507	128
324000	27639.916963065858	64013.01852556586	321.0419832774472	0.8310900533998143	128
325000	28527.134508656105	65406.825914906105	325.51332614234565	0.8282205184077316	128
326000	28109.63885419484	64881.07635419484	324.5578385081577	0.8292564181444312	128
327000	27737.304573707108	64101.01941745711	320.95913274574895	0.8282377080608327	128
328000	28586.363336885697	64587.6484931357	317.76019889971184	0.8290201188076306	128
329000	28226.999121147266	64984.784277397266	324.43733804694864	0.8293017575109805	128
